"Add New Slider","Add New Slider"
"Save","Save"
"Save Slider","Save Slider"
"Image upload","Image upload"
"Add files...","Add files..."
"Cancel","Cancel"
"Show pagination :","Show pagination :"
"Show thumbnails :","Show thumbnails :"
"Image Height (in 'px') :","Image Height (in 'px') :"
"Slider Speed (in 'milliseconds') :","Slider Speed (in 'milliseconds') :"
"milliseconds between the end of the sliding effect and the start of the nex one","milliseconds between the end of the sliding effect and the start of the nex one"
"Slider Duration (in 'milliseconds') :","Slider Duration (in 'milliseconds') :"
"length of the sliding effect in milliseconds","length of the sliding effect in milliseconds"
"Set As Default Slider :","Set As Default Slider :"
"The height of slider","The height of slider"
"Caption photo","Caption photo"

